title_japanese,type,source,episodes,duration,rating,studio,num_related,hentai/romance,sports,youth,adventure/psychological,drama,fantasy/sci-fi,comedy,military,misc,Unknown,class
バブルガムクライシス Hurricane Live! 2033,Special,Unknown,7,1-20,PG-13 - Teens 13 or older,other,2,False,False,False,False,False,False,False,False,True,False,Questionable
伝説の勇者の伝説 いりす・れぽ～と,Special,Unknown,1,21-30,R - 17+ (violence & profanity),other,1,False,False,True,True,False,True,False,False,False,False,OK
地球少女アルジュナ,TV,Original,13,21-30,PG-13 - Teens 13 or older,other,0,False,False,False,True,True,True,False,False,False,False,OK
Peeping Life 5.0ch,OVA,Original,10,1-20,G - All Ages,other,2,False,False,True,False,False,False,True,False,False,False,Bad
けいおん!!,TV,4-koma manga,26,21-30,PG-13 - Teens 13 or older,other,3,False,False,True,False,False,False,True,False,True,False,Really good
ポケモン3Dアドベンチャー2 ピカチュウの海底大冒険,Movie,Game,1,1-20,PG - Children,other,2,False,False,True,True,False,True,True,False,False,False,OK
それでも町は廻っている,TV,Manga,12,21-30,PG-13 - Teens 13 or older,other,1,False,False,True,False,False,False,True,False,False,False,Really good
まっ黒なおべんとう,Movie,Unknown,1,31-59,G - All Ages,other,0,False,False,False,False,True,False,False,False,True,False,Bad
コードギアス 反逆のルルーシュ ピクチャードラマ STAGE 0.97 はじまりの前夜,Special,Original,1,1-20,PG-13 - Teens 13 or older,other,2,False,False,True,False,False,False,False,False,False,False,Questionable
스캔2고,TV,Unknown,52,21-30,G - All Ages,other,0,False,True,True,False,False,True,False,False,False,False,Questionable
3丁目のタマ おねがい! モモちゃんを捜して!!,Movie,Unknown,1,31-59,G - All Ages,other,1,False,False,True,True,False,False,False,False,False,False,Bad
魔女っこ姉妹のヨヨとネネ,Movie,Manga,1,60+,G - All Ages,other,2,False,False,False,False,False,True,False,False,False,False,Really good
バーナード嬢曰く。,TV,Manga,12,1-20,PG-13 - Teens 13 or older,other,2,False,False,True,False,False,False,True,False,False,False,Questionable
ひみつのアッコちゃん,Movie,Unknown,1,21-30,G - All Ages,Toei Animation,2,False,False,True,False,False,True,False,False,False,False,Bad
カリハラのうた,Movie,Original,1,1-20,G - All Ages,other,0,False,False,True,False,False,False,False,False,True,False,Bad
蒼い海のトリスティア,OVA,Visual novel,2,21-30,PG - Children,other,1,False,False,False,True,False,False,False,True,False,False,Questionable
少女チャングムの夢,TV,Other,26,21-30,PG - Children,other,1,False,False,False,True,False,False,True,False,True,False,OK
スペース☆ダンディ,TV,Original,13,21-30,PG-13 - Teens 13 or older,other,3,False,False,False,False,False,True,True,False,False,False,Really good
ASTRO BOY 鉄腕アトム特別編 イワンの惑星~ロボットと人間の友情~,Movie,Unknown,1,1-20,G - All Ages,other,1,False,False,True,False,False,True,False,True,False,False,Bad
お日様と蛙,Movie,Original,1,1-20,G - All Ages,other,0,False,False,False,False,False,False,True,False,False,False,Bad
七つの大罪,OVA,Manga,2,21-30,PG-13 - Teens 13 or older,other,1,False,False,True,True,False,True,False,False,False,False,Really good
リボンの騎士 (1999),Movie,Unknown,1,1-20,G - All Ages,other,2,False,False,False,True,False,False,False,False,False,False,Bad
蒼き鋼のアルペジオ ‐アルス・ノヴァ‐,TV,Manga,12,21-30,PG-13 - Teens 13 or older,other,3,False,False,True,False,False,True,False,False,False,False,Really good
クラシカロイド 第2シリーズ,TV,Original,25,21-30,PG-13 - Teens 13 or older,Sunrise,1,False,False,False,False,False,False,True,False,True,False,Questionable
一期一会 恋バナ友バナ,TV,Unknown,13,1-20,G - All Ages,other,1,False,False,True,False,False,False,True,False,False,False,Bad
ドラえもん　タイムマシンでお正月,Special,Unknown,1,21-30,PG - Children,other,1,False,False,True,True,False,True,True,False,False,False,Questionable
チリンの鈴,Movie,Picture book,1,31-59,PG-13 - Teens 13 or older,other,0,False,False,False,True,True,True,False,False,False,False,OK
装鬼兵MDガイスト2,OVA,Unknown,1,31-59,R+ - Mild Nudity,other,1,False,False,False,False,False,True,False,True,False,False,Questionable
Re:CREATORS 〈レクリエイターズ〉,TV,Original,22,21-30,R - 17+ (violence & profanity),other,1,False,False,True,False,False,True,False,False,False,False,Really good
はじまりの冒険者たち レジェンド・オブ・クリスタニア,Movie,Unknown,1,60+,PG-13 - Teens 13 or older,other,2,False,False,True,True,False,True,False,False,False,False,Questionable
「Magical Music Train 」,Music,Music,1,1-20,G - All Ages,other,0,False,False,False,False,False,False,False,False,True,False,Bad
烈火の炎,TV,Manga,42,21-30,PG-13 - Teens 13 or older,Studio Pierrot,2,False,True,True,True,False,False,False,False,False,False,Really good
コズミック・ファンタジー　銀河女豹の罠,OVA,Game,1,31-59,PG-13 - Teens 13 or older,other,0,True,False,True,False,False,True,True,False,False,False,Bad
響け！ユーフォニアム,TV,Novel,13,21-30,PG-13 - Teens 13 or older,other,4,False,False,True,False,True,False,False,False,True,False,Really good
銀魂. 銀ノ魂篇,TV,Manga,12,21-30,PG-13 - Teens 13 or older,other,3,False,False,True,False,False,True,True,False,True,False,Really good
GUN道 MUSASHI,TV,Original,26,21-30,PG-13 - Teens 13 or older,other,1,False,False,False,True,False,True,False,False,True,False,Questionable
やせるやぎ,ONA,Original,1,less than a minute,G - All Ages,other,0,False,False,False,False,False,False,False,False,False,True,Bad
GALACTIC PATROL　レンズマン,TV,Unknown,25,21-30,PG-13 - Teens 13 or older,Madhouse,1,False,False,True,True,False,True,False,False,False,False,Questionable
デンキ街の本屋さん,TV,Manga,12,21-30,PG-13 - Teens 13 or older,other,1,False,False,True,False,False,False,True,False,False,False,Really good
マックスバリュ九州,Special,Original,1,less than a minute,G - All Ages,other,0,False,False,True,False,False,False,False,False,False,False,Bad
うちの3姉妹,TV,Other,141,21-30,G - All Ages,other,0,False,False,True,False,False,False,True,False,False,False,Bad
お喋りでもしませんか,Special,Unknown,1,1-20,PG-13 - Teens 13 or older,Production I.G,3,False,True,True,False,False,False,True,False,False,False,OK
クロスロード,Special,Original,1,1-20,G - All Ages,other,0,False,False,True,False,False,False,False,False,False,False,Really good
放浪息子,Special,Manga,2,21-30,PG-13 - Teens 13 or older,other,2,False,False,True,False,True,False,False,False,False,False,OK
エスパー魔美 星空のダンシングドール,Movie,Unknown,1,31-59,G - All Ages,other,1,False,False,True,False,False,True,False,False,False,False,Bad
赤い肖像　～シャア、そしてフロンタルへ～,Special,Unknown,1,60+,PG-13 - Teens 13 or older,Sunrise,2,False,False,True,False,True,True,False,True,False,False,Questionable
ガッ活！ 第2シーズン,TV,Unknown,25,1-20,G - All Ages,other,1,False,False,True,False,False,False,True,False,False,False,Questionable
つるのすごもり,Movie,Unknown,1,1-20,G - All Ages,other,0,False,False,True,False,False,False,False,False,False,False,Bad
selector infected WIXOSS,TV,Card game,12,21-30,R - 17+ (violence & profanity),J.C.Staff,4,False,False,False,True,False,True,False,False,False,False,Really good
羽,Music,Music,1,1-20,G - All Ages,other,0,False,False,False,False,False,False,False,False,True,False,Bad
ゴクジョッ。~極楽院女子高寮物語~,TV,Manga,12,1-20,R+ - Mild Nudity,other,2,True,False,True,False,False,False,True,False,False,False,OK
万能文化猫娘,Special,Unknown,2,21-30,PG-13 - Teens 13 or older,other,1,False,False,True,True,False,True,True,True,False,False,Questionable
ウルトラ B,TV,Manga,119,1-20,G - All Ages,other,1,False,False,True,False,False,False,True,False,False,False,Bad
聖☆おにいさん,Movie,Manga,1,60+,PG-13 - Teens 13 or older,other,2,False,False,True,False,False,False,True,False,False,False,Really good
スーパーナチュラル・ザ・アニメーション,OVA,Other,22,21-30,R - 17+ (violence & profanity),Madhouse,0,False,False,True,False,True,True,False,False,False,False,OK
アンドロメダ・ストーリーズ,Special,Manga,1,60+,PG-13 - Teens 13 or older,Toei Animation,1,False,False,True,False,True,True,False,False,False,False,Bad
ACCA 13区監察課,TV,Manga,12,21-30,R - 17+ (violence & profanity),Madhouse,2,False,False,True,True,True,True,False,True,False,False,Really good
新世紀ＧＰＸサイバーフォーミュラ EARLYDAYS RENEWAL,OVA,Unknown,2,31-59,PG-13 - Teens 13 or older,Sunrise,0,False,True,True,False,True,True,False,False,False,False,Bad
電脳戦隊ヴギィ&#039;ズ★エンジェル外伝 進め! スーパー★エンジェルス!,OVA,Unknown,2,1-20,PG-13 - Teens 13 or older,J.C.Staff,1,False,False,True,False,False,True,True,True,False,False,Bad
悟空の大冒険,TV,Unknown,39,21-30,G - All Ages,other,2,False,False,False,False,False,True,True,False,False,False,Bad
キティとダニエルのすてきなクリスマス,OVA,Unknown,1,1-20,G - All Ages,other,0,False,False,True,False,False,False,False,False,False,False,Bad
アリスと蔵六,TV,Manga,12,21-30,PG-13 - Teens 13 or older,J.C.Staff,1,False,False,True,True,False,False,False,False,False,False,Really good
みっちりねこ,TV,Web manga,13,1-20,G - All Ages,other,2,False,False,True,False,False,False,True,False,False,False,OK
スレイヤーズ,TV,Light novel,26,21-30,PG-13 - Teens 13 or older,other,3,False,False,False,True,False,True,True,False,False,False,Really good
正解するカド,TV,Original,12,21-30,PG-13 - Teens 13 or older,Toei Animation,3,False,False,False,False,False,True,False,False,False,False,Really good
ドラゴンボール超（スーパー）,TV,Manga,131,21-30,PG-13 - Teens 13 or older,Toei Animation,5,False,True,True,True,False,True,True,False,False,False,Really good
げんしけん 二代目 映像特典,Special,Unknown,4,1-20,R - 17+ (violence & profanity),Production I.G,2,False,False,True,False,False,False,True,False,False,False,OK
新釈 戦国英雄伝説 眞田十勇士 The Animation,TV,Unknown,12,21-30,PG-13 - Teens 13 or older,other,1,False,False,True,False,False,False,True,True,True,False,Questionable
白い本,TV,Unknown,6,1-20,G - All Ages,other,0,False,False,True,True,False,False,False,False,False,False,Bad
ヤマノススメ,TV,Manga,12,1-20,G - All Ages,other,2,False,False,True,True,False,False,True,False,False,False,OK
プリンセス・プリンシパル,TV,Original,12,21-30,R - 17+ (violence & profanity),other,3,False,False,True,True,False,False,False,False,True,False,Really good
にゃんぱいあ The Animation,TV,Manga,12,1-20,G - All Ages,other,0,False,False,False,False,False,True,True,False,False,False,OK
キラ☆キラ 5th Anniversary Live Anime KICK START GENERATION,OVA,Visual novel,1,21-30,G - All Ages,other,0,False,False,False,False,False,False,False,False,True,False,Questionable
天保異聞 妖奇士,TV,Original,25,1-20,R - 17+ (violence & profanity),other,2,False,False,False,False,False,True,False,False,True,False,OK
ぽこぽんのゆかいな西遊記,Movie,Original,1,60+,G - All Ages,other,1,False,True,True,True,False,True,False,False,False,False,Bad
ペルソナ4アニメーション,TV,Game,25,21-30,PG-13 - Teens 13 or older,other,6,False,False,True,True,False,True,False,False,False,False,Really good
劇場版 Fate/stay night: UNLIMITED BLADE WORKS,Movie,Visual novel,1,60+,PG-13 - Teens 13 or older,Studio Deen,2,False,False,True,False,False,True,False,False,False,False,Really good
ウダウダやってるヒマはねェ!,OVA,Unknown,2,31-59,R - 17+ (violence & profanity),J.C.Staff,1,False,False,True,False,False,False,True,False,False,False,Bad
梦幻西游,ONA,Game,13,21-30,PG-13 - Teens 13 or older,other,1,False,False,True,True,False,True,False,False,True,False,Bad
ルパン三世 「セブンデイズ・ラプソディ」,Special,Unknown,1,60+,PG-13 - Teens 13 or older,TMS Entertainment,1,False,False,True,True,False,False,True,False,False,False,OK
スキージャンプ・ペア ~Road to TORINO 2006~,Movie,Unknown,1,1-20,G - All Ages,other,0,False,True,False,False,False,False,True,False,False,False,Bad
ナゾトキ姫は名探偵♥,OVA,Manga,6,1-20,G - All Ages,other,1,False,False,True,True,False,False,False,False,False,False,Bad
テルマエ・ロマエｘLOFT企業コラボレーション,Special,Unknown,1,1-20,PG-13 - Teens 13 or older,other,1,False,False,True,False,False,False,True,False,True,False,Bad
フェアリーテイル,TV,Manga,175,21-30,PG-13 - Teens 13 or older,other,6,False,False,True,True,False,True,True,False,False,False,Really good
マーベル フューチャー・アベンジャーズ,TV,Other,26,21-30,PG - Children,Madhouse,3,False,False,True,False,False,False,False,False,False,False,Bad
チョーク色のピープル,OVA,Unknown,1,31-59,PG-13 - Teens 13 or older,other,0,True,False,True,False,False,False,False,False,False,False,Bad
Super Seisyun Brothers -超青春姉弟s-,TV,Web manga,14,1-20,PG-13 - Teens 13 or older,other,1,True,False,True,False,False,False,True,False,False,False,OK
瀬戸の花嫁,Special,Manga,2,1-20,PG-13 - Teens 13 or older,other,1,False,False,True,False,False,False,True,False,False,False,OK
モモキュンソード,TV,Light novel,12,21-30,R+ - Mild Nudity,other,1,True,False,False,False,False,True,True,False,False,False,Questionable
おなら吾郎,TV,Original,13,1-20,PG - Children,other,2,False,False,False,False,False,False,True,False,False,False,Questionable
太空历险记,TV,Original,26,1-20,G - All Ages,other,0,False,False,True,False,False,True,False,True,False,False,Bad
この醜くも美しい世界,TV,Original,12,21-30,R+ - Mild Nudity,other,1,True,False,False,False,True,True,True,False,False,False,OK
ゴ～！ゴ～！ご～しちご～,TV,Game,4,1-20,PG-13 - Teens 13 or older,other,1,False,False,True,False,False,False,False,False,False,False,Questionable
DAYBREAK INTERLUDE,Music,Game,1,1-20,G - All Ages,other,2,False,False,False,False,False,False,False,False,True,False,Questionable
白旗の少女 琉子,Movie,Unknown,1,60+,None,other,0,False,False,False,False,True,False,False,False,False,False,Bad
マスターキートン,TV,Manga,24,21-30,R - 17+ (violence & profanity),Madhouse,2,False,False,False,True,False,False,False,False,False,False,Really good
エンジェルズフェザー Angel&#039;s Feather,OVA,Visual novel,2,21-30,PG-13 - Teens 13 or older,other,0,True,False,True,False,True,True,False,False,False,False,Questionable
武装少女マキャヴェリズム ドキッ！「五剣だらけ」の慰安旅行,OVA,Manga,1,21-30,PG-13 - Teens 13 or older,other,1,False,False,True,False,False,False,False,False,False,False,OK
プラトニックチェーン 暗殺実行中,Special,Novel,1,1-20,PG-13 - Teens 13 or older,other,1,False,False,True,False,False,True,False,False,False,False,Bad
しゅごキャラ！パーティー！,TV,Manga,25,21-30,PG - Children,other,1,False,False,True,False,False,True,True,False,False,False,OK
デビルマン メモリアル,OVA,Manga,1,31-59,R - 17+ (violence & profanity),Toei Animation,1,False,False,True,False,True,True,False,False,False,False,Bad
ワーキング’！！,TV,4-koma manga,13,21-30,PG-13 - Teens 13 or older,other,4,True,False,True,False,False,False,True,False,False,False,Really good
はいからさんが通る,TV,Manga,42,21-30,PG-13 - Teens 13 or older,Nippon Animation,3,True,False,True,False,True,False,False,False,True,False,OK
ドルフィン王子,TV,Unknown,3,21-30,G - All Ages,other,1,False,False,True,True,False,True,False,False,False,False,Bad
ポチャッコのジャックと豆の木,OVA,Unknown,1,1-20,G - All Ages,other,1,False,False,True,False,False,True,False,False,False,False,Bad
映画　忍たま乱太郎,Movie,Unknown,1,31-59,G - All Ages,other,1,False,False,True,False,False,False,True,False,False,False,Questionable
滝隠れの死闘　オレが英雄だってばよ!,Special,Manga,1,31-59,PG-13 - Teens 13 or older,Studio Pierrot,2,False,False,True,True,False,False,True,False,False,False,OK
召しませロードス島戦記～それっておいしいの？～,TV,Unknown,13,1-20,PG-13 - Teens 13 or older,other,1,False,False,False,False,False,False,True,False,False,False,Bad
ドラゴンボール,Special,Manga,2,1-20,PG - Children,Toei Animation,1,False,False,True,False,False,True,True,False,False,False,OK
トレジャーガウスト,TV,Unknown,5,1-20,PG-13 - Teens 13 or older,other,0,False,False,False,False,False,True,False,False,False,False,Bad
ぷちえう゛ぁ,ONA,Original,24,1-20,G - All Ages,other,2,False,False,True,False,False,False,True,False,False,False,Questionable
